$delimiter:,
@header-name:Change,Country,Location,Name,NameWoDiacritics,Subdivision,Function,Status,Date,IATA,Coordinates,Remarks
@header-type:string,string,string,string,string,string,string,string,string,string,string,string
,AD,ALV,Andorra la Vella,Andorra la Vella,,--34-6--,AI,0601,,4230N 00131E,
,AD,CAN,Canillo,Canillo,,--3-----,RL,0307,,4234N 00135E,
,AD,ENC,Encamp,Encamp,,--3-----,RL,0307,,4232N 00134E,
,AD,ESC,Escaldes-Engordany,Escaldes-Engordany,,--3-----,RL,0307,,4231N 00133E,
,AD,EAC,"Escàs",Escas,04,--3-----,RL,1407,,4233N 00131E,
,AD,FMO,La Farga de Moles,La Farga de Moles,,--3----B,RQ,0307,,,
,AD,LMA,La Massana,La Massana,,--3-----,RL,0307,,4234N 00129E,
,AD,ORD,Ordino,Ordino,,--3-----,RL,0307,,4233N 00131E,
,AD,PAS,Pas de la Casa,Pas de la Casa,,--3----B,RL,0307,,4233N 00144E,
,AD,SJL,"Sant Julià de Lòria",Sant Julia de Loria,,--3-----,RL,1101,,4228N 00130E,
,AD,SCO,Santa Coloma,Santa Coloma,,--3-----,RL,0307,,4230N 00130E,
,AE,ABU,Abu al Bukhoosh,Abu al Bukhoosh,,1-------,RL,0307,,2529N 05308E,
,AE,AUH,Abu Dhabi,Abu Dhabi,AZ,1-345---,AI,1101,,2428N 05422E,
,AE,AMU,Abu Musa,Abu Musa,,1-------,RL,0201,,2552N 05501E,
,AE,ARP,Ahmed Bin Rashid Port,Ahmed Bin Rashid Port,AZ,1-------,RL,1407,,2532N 05533E,
,AE,AJM,Ajman,Ajman,,1-3-----,RL,0103,QAJ,,
,AE,AAN,Al Ain,Al Ain,,---4----,AI,9601,,,
,AE,ALB,Al Barsha,Al Barsha,DU,--3-----,RL,1701,,2506N 05511E,
,AE,DHF,Al Dhafra,Al Dhafra,,--34----,AI,0507,,2414N 05432E,
,AE,FJR,Al Fujayrah,Al Fujayrah,FU,1--4----,AI,0212,,2507N 05620E,
,AE,HAM,Al Hamriyah,Al Hamriyah,,--3-----,RL,0212,,2529N 05530E,
,AE,JAZ,Al Jazeera Port,Al Jazeera Port,RK,1-------,RL,1307,,2543N 05548E,
,AE,AJP,Al Jeer Port,Al Jeer Port,RK,1-3-----,RL,1307,,2602N 05603E,
,AE,DBI,Al Mafraq,Al Mafraq,AZ,--3-----,RL,1601,,2418N 05436E,
,AE,ALQ,Al Quoz,Al Quoz,DU,--3-----,RL,1701,,2507N 05513E,
,AE,ALS,Al Sufouh,Al Sufouh,DU,--3-----,RL,1701,,2507N 05511E,
